1;1;Trade and markets
2;1;Industrialization
3;1;Infrastructure development
4;1;Centres of excellence in trade and regional integration
5;2;Effective and capable institutions 
6;2;Entrepreneurship and employment
7;2;Occupational health, social security and wellbeing
8;2;Centres of excellence in human and institutional capacity development
9;3;National and regional food systems and infrastructure
10;3;Nutrition, healthy and sustainable food culture
11;3;Food safety and waste management
12;3;Smart rural communities and infrastructure
13;3;Centres of excellence in food and agriculture science
14;4;Energy systems and security policies, strategies, regulatory frameworks and governance
15;4;Energy mix, integrated energy planning, smart networks and super grids
16;4;Energy efficiency, infrastructure and technologies
17;4;Energy trade and markets
18;4;Centres of excellence in energy initiatives and innovation
19;5;Climate change
20;5;Sustainable natural resources and extractive industries management
21;5;Disaster risks and recovery management
22;5;Ecotourism
23;5;Environmental and social impact assessment and governance
24;5;Centres of excellence in climate change, environment and natural resources management
25;6;Existing and emerging technologies
26;6;Artificial intelligence, machine learning and big data management
27;6;Research and breakthrough discoveries
28;6;STEM education, training and science culture
29;6;Centres of excellence in science, technology and innovation
30;6;Science and technology foresight, governance, regulation, ethics
31;7;Staffing requirement
32;7;Organizational systems, processes and procedures
33;7;Work environment and culture